Year,Model,Price,Exterior_Color,Drivetrain,Fuel_Type,Engine,Mileage,Seller_Type
2023,Civic Sport Touring,"$32,500 ",White,FWD,Gasoline,1.5L,3,Dealer
2020,Accord Sport 2.0T,"$26,995 ",Black,FWD,Gasoline,1.5L,23709,Dealer
2022,Accord Sport,"$34,755 ",Black,FWD,Gasoline,1.5L,0,Dealer
2022,Accord Sport,"$34,755 ",Black,FWD,Gasoline,1.5L,0,Dealer
2022,Accord Sport,"$34,755 ",Blue,FWD,Gasoline,1.5L,0,Dealer
2022,Accord Touring,"$37,699 ",Silver,FWD,Gasoline,1.5L,5878,Dealer
2022,Accord Sport,"$35,150 ",Silver,FWD,Gasoline,1.5L,4,Dealer
2022,Accord Touring,"$38,810 ",White,FWD,Gasoline,1.5L,0,Dealer
2020,Fit EX,"$19,694 ",Black,FWD,Gasoline,1.5L,29148,Dealer
2007,Fit,"$7,995 ",Silver,FWD,Gasoline,1.5L Hybrid,89806,Dealer
2009,Fit,"$10,999 ",Red,FWD,Gasoline,1.5L Hybrid,42125,Dealer
2009,Fit Sport,"$7,953 ",Silver,FWD,Gasoline,1.5L Hybrid,134739,Dealer
2010,Fit Sport,"$10,495 ",Silver,FWD,Gasoline,1.5L Hybrid,106364,Dealer
2010,Fit Base (A5),"$6,500 ",Silver,FWD,Gasoline,1.5L Hybrid,147954,Dealer
2010,Fit,"$9,988 ",White,FWD,Gasoline,1.5L Hybrid,74174,Dealer
2011,Fit Sport w/ Navigation,"$10,995 ",Silver,FWD,Gasoline,1.5L Hybrid,118457,Dealer
2011,Fit Sport,"$16,990 ",Yellow,FWD,Gasoline,1.5L Hybrid,17755,Individual
2013,Fit Sport,"$15,590 ",Red,FWD,Gasoline,1.5L Hybrid,51690,Individual
1991,Civic LX,"$14,998 ",Red,FWD,Gasoline,1.5L Hybrid,57138,Dealer
2023,Civic Touring,"$31,140 ",Blue,FWD,Gasoline,1.5L Hybrid,2,Dealer
2023,Civic Touring,"$30,745 ",Red,FWD,Gasoline,1.5L Hybrid,2,Dealer
2018,Accord EX,"$27,995 ",White,FWD,Gasoline,1.5L Hybrid,47910,Dealer
1993,del Sol Si,"$15,500 ",Blue,FWD,Gasoline,1.5L Hybrid,55526,Dealer
